TopicID,TopicName,ParentID
629,Occupant Safety,80402
630,Human Body Modeling,10102
631,Haptics,20501
634,Biomechanics Of Cardiopulmonary Resuscitation,10102
637,Trauma Biomechanics,10102
638,Scramjets,50302
641,Flight Testing,50303
642,Controls,40501
644,Rotating Machinery,50502
646,Student Assessment,90301
647,Injury Biomechanics,10102
652,Biological And Bio-Inspired Materials,30404
653,Micro/Nanomechanics,50102
655,Tribology,50103
658,Turbulence Multiphase Flow,50201
659,Application Of Optical Measurement,30202
662,Tomography,30201
663,Three-Dimensional Measurements And Visualization,20604
668,Design Of Personnel Protective Equipment,80402
671,Microfabrication And Mems,40101
674,Occupant Kinematics,10102
677,Post Mortem Human Subject Training,10104
682,Structure-Function Relationships,30301
684,Biomineralizing Tissues,10301
686,Bone Cartilage Tendon,10301
688,High-Speed Flow Physics,50301
689,Fluid-Structure Interactions,50201
691,Engineering Mechanics,50101
694,Soft-Hard Integration Mechanics,50102
699,Human Performance Modeling,80401
703,Complex Systems Failure,80203
704,Psychophysics And Psychometrics,90204
706,Technology And Democracy,90402
708,Data Fusion,20601
709,Knowledge Discovery,20601
710,Simulation Optimization,80103
712,Financial Engineering And Modeling,90602
713,Asset Management And Portfolio Design,90602
716,Multimodal Machine Learning For Public Health,90504
717,Human Behavior Modeling,80401
719,Infectious Disease Modeling,90504
726,The Generic Structure And Mathematics Of Simulation Models,80103
727,Discrete And Continuous Dynamical Systems,90104
733,Sports Analytics,90601
734,Structure Analysis,60101
741,Intelligent Materials And Structures,50104
744,Applied Mathematics,90101
745,Geophysical Mass Flows,60403
746,Computational Fluid Dynamics,50201
747,Numerical Simulation,90102
748,Data Assimilation Adjoints,90102
750,Motivation,80401
751,Person-Situation Dynamics,80401
753,Leadership,90304
754,Materials Science And Engineering,30101
755,Mental Health,90504
762,Dynamic Programming,20301
764,Material Science,30101
766,Semiconductors,40101
767,X-Ray Photoelectron Spectroscopy,30202
768,Molecular Beam Epitaxy,30103
770,Indoor Environmental Quality,60503
771,Digital Twin,80202
773,Generative AI In Computer Science Courses,20701
774,Computer Science 1,20701
775,Automated Assessment Tools,20702
777,Error Messages,20301
786,Biolocomotion,10102
788,Vehicle Stability,50303
790,Magnesium,30501
791,Uranium,70201
793,Texture,30201
794,Dislocations,30501
796,Extreme Nanomanufacturing,30104
797,Solid-Liquid Interaction,70104
799,Data Science,20601
800,Event Prediction,20101
802,Crime Linkage,20601
803,Transplant Analytics,90503
805,Water Chemistry,60302
807,Complex Fluids,50201
809,Neurodevelopmental Disorders,10404
813,Algorithm Development,20301
817,Water Resources Management,60301
822,Bio-Inspired Flow,50201
826,Fish Swimming,50201
827,Infectious Disease,90504
828,Signal Transduction,10304
833,Networking,20401
837,Transhumanism,90404
838,Microresonators,40201
839,Microcavities,40201
841,Photonics,40201
842,Computer Science,20101
845,Security And Privacy,20402
846,Computer Science Education Scholarship/Research,20701
847,Graph Dynamical Systems,90104
848,Modeling,90104
849,System Architectures,80202
850,Massively Interacting Systems,80203
851,Coupled,50102
853,Optical Diagnostics,30202
855,Flow Instrumentation,50201
857,Thermal Management,50202
859,Construction Engineering And Management,60501
860,Environmental Fluid Mechanics,50201
861,Coastal Oceanography,60303
862,Marine Ecosystems,60303
863,Optoelectronics,40201
864,Fatigue,50103
865,Environment Assisted Cracking,30504
866,Stress Corrosion Cracking,30504
867,Hydrogen,70302
869,Image Analysis,20103
870,Shape Analysis,20103
874,Governance,90402
876,Futures Studies,90403
880,Radiation-Solid Interactions,70202
885,Earthquake Engineering,60102
888,Structural Health Monitorin,60103
891,Vehicle Crashworthiness,10102
892,Sports Injuries,10102
894,Human-Robot Interaction,80404
895,Secure Internet Of Things,20402
897,Bridge Engineering,60101
898,Condition Assessment,60103
899,Digital Image Correlation,20103
900,Terahertz,40204
901,Microwave,40301
902,Millimeter-Wave,40301
907,Mems,40101
908,Rf-Mems,40101
909,Computer Science,20101
912,Social Networks,80203
914,Language Models,20104
919,First-Principles,30204
921,Multi-Agent Systems,20203
924,In-Situ/Operando Characterization,30203
925,X-Ray Absorption Fine Structure,30202
926,Serious Games,20501
930,Orthopaedics,10104
931,Structural Design,60101
937,Science And Technology Studies,90401
938,Laboratory Ethnography,90401
939,Construction Of Expertise,90301
944,Tyrosine Phosphorylation,10304
